event_id,attack_type_id
202001230001,2
202001230002,2
202001230003,2
202001230006,7
202001230007,3
202001230012,7
202001230014,6
202001230014,7
202001230015,1
202001240001,3
202001240002,3
202001240003,2
202001240005,7
202001240006,2
202001240006,7
202001240008,3
202001240010,2
202001240011,2
202001240012,2
202001240015,2
202001250001,3
202001250002,8
202001250003,7
202001250004,6
202001250005,3
202001250008,3
202001250009,3
202001250011,3
202001250012,3
202001250013,3
202001250014,3
202001250016,2
202001250017,3
202001250018,1
202001250020,8
202001250022,2
202001250022,7
202001250023,6
202001250023,7
202001250024,7
202001250026,6
202001250028,6
202001260001,3
202001260002,3
202001260003,2
202001260012,3
202001260013,3
202001260014,2
202001260014,7
202001260015,6
202001260017,6
202001260017,2
202001260017,7
202001260018,3
202001260020,2
202001260021,1
202001260022,3
202001260024,2
202001260024,7
202001260029,2
202001260030,7
202001260031,7
202001260034,3
202001270001,2
202001270002,3
202001270003,3
202001270006,6
202001270007,2
202001270007,7
202001270008,2
202001270008,7
202001270015,3
202001270016,2
202001270017,3
202001270019,3
202001270020,3
202001270021,3
202001270022,3
202001270023,3
202001270034,3
202001270035,3
202001270036,3
202001270037,3
202001270038,3
202001270040,7
202001270041,7
202001270042,7
202001280003,3
202001280003,2
202001280004,2
202001280005,1
202001280006,7
202001280007,1
202001280008,3
202001280021,6
202001280021,2
202001280022,7
202001280023,6
202001280023,2
202001280024,1
202001280025,1
202001280027,3
202001280028,3
202001280029,2
202001280030,1
202001280032,7
202001290001,7
202001290003,7
202001290004,7
202001290005,5
202001290005,2
202001290005,7
202001290006,5
202001290006,2
202001290006,7
202001290007,5
202001290007,2
202001290007,7
202001290009,7
202001290010,2
202001290011,1
202001290012,1
202001290013,1
202001290015,3
202001290020,6
202001290020,2
202001290022,1
202001290023,6
202001290026,3
202001290027,7
202001290035,3
202001290036,3
202001290037,3
202001290038,2
202001290043,7
202001290044,2
202001290045,2
202001290046,2
202001300001,3
202001300002,3
202001300004,6
202001300006,2
202001300008,2
202001300008,7
202001300011,2
202001300012,3
